`manufacturers_id`;`languages_id`;`manufacturers_url`;`url_clicked`;`date_last_click`;`manufacturers_htc_title_tag`;`manufacturers_htc_desc_tag`;`manufacturers_htc_keywords_tag`
148;1;;0;`0000-00-00 00:00:00`;;;
149;1;;0;`0000-00-00 00:00:00`;;;
150;1;;0;`0000-00-00 00:00:00`;;;
151;1;;0;`0000-00-00 00:00:00`;;;
152;1;;0;`0000-00-00 00:00:00`;;;
153;1;;0;`0000-00-00 00:00:00`;;;
154;1;;0;`0000-00-00 00:00:00`;;;
155;1;;0;`0000-00-00 00:00:00`;;;
156;1;;0;`0000-00-00 00:00:00`;;;
157;1;;0;`0000-00-00 00:00:00`;;;
158;1;;0;`0000-00-00 00:00:00`;;;
159;1;;0;`0000-00-00 00:00:00`;;;
160;1;;0;`0000-00-00 00:00:00`;;;
161;1;;0;`0000-00-00 00:00:00`;;;
162;1;;0;`0000-00-00 00:00:00`;;;
163;1;;0;`0000-00-00 00:00:00`;;;
164;1;;0;`0000-00-00 00:00:00`;;;
165;1;;0;`0000-00-00 00:00:00`;;;
166;1;;0;`0000-00-00 00:00:00`;;;
167;1;;0;`0000-00-00 00:00:00`;;;
168;1;;0;`0000-00-00 00:00:00`;;;
169;1;;0;`0000-00-00 00:00:00`;;;
170;1;;0;`0000-00-00 00:00:00`;;;
171;1;;0;`0000-00-00 00:00:00`;;;
172;1;;0;`0000-00-00 00:00:00`;;;
173;1;;0;`0000-00-00 00:00:00`;;;
174;1;;0;`0000-00-00 00:00:00`;;;
175;1;;0;`0000-00-00 00:00:00`;;;
176;1;;0;`0000-00-00 00:00:00`;;;
177;1;;0;`0000-00-00 00:00:00`;;;
178;1;;0;`0000-00-00 00:00:00`;;;
179;1;;0;`0000-00-00 00:00:00`;;;
180;1;;0;`0000-00-00 00:00:00`;;;
181;1;;0;`0000-00-00 00:00:00`;;;
182;1;;0;`0000-00-00 00:00:00`;;;
183;1;;0;`0000-00-00 00:00:00`;;;
184;1;;0;`0000-00-00 00:00:00`;;;
185;1;;0;`0000-00-00 00:00:00`;;;
186;1;;0;`0000-00-00 00:00:00`;;;
187;1;;0;`0000-00-00 00:00:00`;;;
188;1;;0;`0000-00-00 00:00:00`;;;
